	cultivar	date	treatment	block	Mortierellomycota	Ascomycota	Basidiomycota
H2	Drought tolerant	Aug.1	0	1	42.81481481	48.74074074	4.790123457
H3	Drought tolerant	Aug.1	75	1	37.56169793	52.51727542	6.811451135
H4	Drought sensitive	Aug.1	0	1	43.61124815	38.28317711	8.288110508
H5	Drought sensitive	Aug.1	50	1	46.84106614	45.95261599	5.528134255
H6	Drought sensitive	Aug.1	75	1	34.28143713	57.23552894	6.387225549
H7	Drought tolerant	Aug.1	25	1	53.89162562	37.98029557	5.172413793
H8	Drought tolerant	Aug.1	50	1	49.38332511	40.65120868	5.969412926
H9	Drought tolerant	Aug.1	0	2	61.75889328	27.66798419	3.112648221
H10	Drought tolerant	Aug.1	75	2	26.28205128	69.9704142	2.613412229
H11	Drought sensitive	Aug.1	25	2	57.80632411	29.79249012	7.658102767
H12	Drought sensitive	Aug.1	50	2	36.24691358	34.17283951	13.38271605
H13	Drought tolerant	Aug.1	25	2	62.11149482	30.93241243	4.686729156
H14	Drought tolerant	Aug.1	50	2	22.46305419	71.57635468	5.024630542
H15	Drought sensitive	Aug.1	75	2	47.73175542	45.36489152	5.522682446
H16	Drought sensitive	Aug.1	0	2	54.26739023	37.04982733	6.16674889
H17	Drought sensitive	Aug.1	75	3	55.94474593	31.72175629	9.620128268
H18	Drought tolerant	Aug.1	0	3	70.43994068	21.4532872	5.783489867
H19	Drought sensitive	Aug.1	50	3	64.1025641	24.75345168	6.213017751
H20	Drought tolerant	Aug.1	25	3	88.17151306	8.477082307	2.759980286
H21	Drought sensitive	Aug.1	25	3	39.62543125	51.89748645	7.392804337
H22	Drought tolerant	Aug.1	50	3	73.87875801	21.83341548	3.104977822
H23	Drought sensitive	Aug.1	0	3	54.56339418	35.76714356	6.16674889
H24	Drought tolerant	Aug.1	75	3	62.86982249	30.7199211	4.487179487
H25	Drought tolerant	Aug.1	25	4	60.8094768	28.18361303	5.034550839
H26	Drought tolerant	Aug.1	50	4	60.27599803	31.69048793	6.259241005
H27	Drought sensitive	Aug.1	0	4	60.19753086	25.08641975	3.703703704
H28	Drought sensitive	Aug.1	75	4	64.28219043	29.94573261	3.749383325
H29	Drought tolerant	Aug.1	0	4	64.31391905	27.14708786	4.689042448
H30	Drought sensitive	Aug.1	50	4	67.98223976	24.07498767	6.512086828
H31	Drought tolerant	Aug.1	75	4	56.16370809	33.03747535	9.516765286
H32	Drought sensitive	Aug.1	25	4	67.04489393	21.90429206	6.216082881
H33	Drought sensitive	Aug.1	0	5	55.85185185	36.98765432	4
H34	Drought tolerant	Aug.1	75	5	44.77832512	38.96551724	15.51724138
H35	Drought tolerant	Aug.1	0	5	42.42574257	31.88118812	23.86138614
H36	Drought tolerant	Aug.1	50	5	61.80384426	30.8033514	6.554953179
H37	Drought sensitive	Aug.1	25	5	68.64197531	25.38271605	4
H38	Drought tolerant	Aug.1	25	5	60.74074074	31.65432099	5.481481481
H39	Drought sensitive	Aug.1	50	5	74.6673238	20.65056678	3.647116806
H40	Drought sensitive	Aug.1	75	5	69.10167818	25.96248766	3.701875617
H41	Drought sensitive	Aug.1	50	6	56.4331843	38.54942871	3.328365623
H42	Drought tolerant	Aug.1	75	6	50.78973346	42.9911155	5.478775913
H43	Drought sensitive	Aug.1	25	6	62.8021707	32.26443019	3.700049334
H44	Drought sensitive	Aug.1	0	6	67.07737802	26.21981272	5.766387383
H45	Drought tolerant	Aug.1	50	6	66.14095614	28.48693938	4.041399704
H46	Drought tolerant	Aug.1	0	6	70.77378019	25.52981764	3.055692459
H47	Drought sensitive	Aug.1	75	6	44.5320197	47.19211823	6.206896552
H48	Drought tolerant	Aug.1	25	6	45.09610646	47.60965993	5.667816658
