	Shannon	Inverse_Simpson	OTU_richness	Chao1	ACE	PD	cultivar	date	treatment	Shannon	block								
E1	1.560710409	0.777777778	5	8	15	1.20899	Drought sensitive	Jul.5	25	6.303996186	1								
E2	1.386294361	0.75	4	10	NA	1.57704	Drought tolerant	Jul.5	0	6.204709924	1								
E3	3.861674598	0.937850955	257	478.4285714	435.6471095	20.32656	Drought tolerant	Jul.5	75	6.257073064	1								
E4	2.866102757	0.808252566	194	330.4864865	379.6700703	18.14754	Drought sensitive	Jul.5	0	6.26187318	1								
E5	3.864321149	0.945183334	249	381.2553191	401.4615357	21.02651	Drought sensitive	Jul.5	50	6.299796105	1								
E6	3.898837003	0.942849378	254	408.2272727	413.9244471	22.03817	Drought sensitive	Jul.5	75	6.172790825	1								
E7	3.427748395	0.870977699	246	474.6	454.5600489	19.25982	Drought tolerant	Jul.5	25	6.597419414	1								
E8	3.597087025	0.927198913	232	372.6222222	420.7574353	17.25208	Drought tolerant	Jul.5	50	6.666288754	1								
E9	3.919965861	0.93779951	270	446.6956522	456.9646003	21.38687	Drought tolerant	Jul.5	0	6.514496745	2								
E10	4.081223102	0.958410056	266	385	438.3862908	21.07437	Drought tolerant	Jul.5	75	6.404792703	2								
E11	3.969040597	0.940180543	251	422.025641	418.1656811	21.49886	Drought sensitive	Jul.5	25	6.602751179	2								
E12	3.178418387	0.839394307	218	338.7317073	353.7656605	18.32731	Drought sensitive	Jul.5	50	6.540341705	2								
E13	3.651924524	0.910492368	236	371.1304348	418.0099773	21.71598	Drought tolerant	Jul.5	25	6.554179652	2								
E14	3.678953603	0.917062292	253	400.1176471	451.1238126	18.04311	Drought tolerant	Jul.5	50	6.525073638	2								
E15	3.846161913	0.928220534	274	438.4117647	464.3880141	23.5729	Drought sensitive	Jul.5	75	6.590391348	2								
E16	3.651166072	0.92572739	247	386.6153846	447.2263656	19.80302	Drought sensitive	Jul.5	0	6.578348993	2								
E17	3.684626482	0.924263146	241	394.3571429	407.7645203	18.85229	Drought sensitive	Jul.5	75	6.398730154	3								
E18	3.737053073	0.915847994	267	456.5957447	476.2156028	22.14667	Drought tolerant	Jul.5	0	6.395133211	3								
E19	3.669520186	0.928149191	237	518.25	474.4159034	18.18845	Drought sensitive	Jul.5	50	6.414009854	3								
E20	3.870876102	0.945165862	221	341	351.019116	18.78575	Drought tolerant	Jul.5	25	6.304677839	3								
E21	3.176790984	0.841006576	204	356	345.7413595	19.2304	Drought sensitive	Jul.5	25	6.357512938	3								
E22	3.427775283	0.880753719	212	364	341.2283612	17.6626	Drought tolerant	Jul.5	50	6.496019555	3								
E23	3.846640901	0.922369871	266	524.7777778	489.2166638	20.66012	Drought sensitive	Jul.5	0	6.46751986	3								
E24	3.727168664	0.924555801	246	413.75	442.734589	17.85292	Drought tolerant	Jul.5	75	6.50865889	3								
E25	3.638241945	0.90148851	244	498.0322581	462.8280057	18.7462	Drought tolerant	Jul.5	25	6.339531967	4								
