	cultivar	date	treatment	block	Thaumarchaeota	Actinobacteria	Proteobacteria	Acidobacteria	Verrucomicrobia	Bacteroidetes	Planctomycetes	Firmicutes
D26	Drought tolerant	Jun.21	50	4	16.08187135	27.48538012	22.12475634	13.10916179	4.873294347	2.923976608	2.972709552	1.26705653
D27	Drought sensitive	Jun.21	0	4	15.74074074	25.19493177	23.24561404	14.71734893	4.191033138	3.50877193	3.313840156	1.413255361
D28	Drought sensitive	Jun.21	75	4	15.25341131	27.43664717	24.31773879	11.89083821	5.068226121	4.532163743	2.436647173	1.900584795
D29	Drought tolerant	Jun.21	0	4	15.88693957	29.23976608	20.95516569	11.89083821	4.093567251	3.557504873	3.167641326	1.364522417
D30	Drought sensitive	Jun.21	50	4	15.6920078	29.09356725	22.02729045	12.76803119	3.898635478	4.434697856	2.680311891	1.413255361
D31	Drought tolerant	Jun.21	75	4	13.20662768	26.31578947	24.51267057	11.59844055	3.996101365	5.604288499	2.582846004	1.803118908
D32	Drought sensitive	Jun.21	25	4	12.72549976	25.40224281	24.57337884	12.87176987	4.388103364	5.850804486	2.584105314	0.877620673
D33	Drought sensitive	Jun.21	0	5	13.41463415	29.70731707	23.2195122	11.46341463	2.975609756	3.268292683	4	2.731707317
D34	Drought tolerant	Jun.21	75	5	13.45685032	31.88688445	21.40419308	12.48171624	3.510482691	2.925402243	3.217942467	1.560214529
D35	Drought tolerant	Jun.21	0	5	12.52436647	31.87134503	23.73294347	11.5497076	2.680311891	4.483430799	2.729044834	1.656920078
D36	Drought tolerant	Jun.21	50	5	13.10916179	32.50487329	19.93177388	13.791423	3.118908382	2.729044834	3.118908382	1.656920078
D37	Drought sensitive	Jun.21	25	5	15.20467836	28.3625731	22.07602339	15.44834308	2.729044834	3.411306043	2.729044834	1.315789474
D38	Drought tolerant	Jun.21	25	5	12.23196881	33.82066277	20.12670565	13.35282651	3.460038986	2.923976608	2.485380117	1.656920078
D39	Drought sensitive	Jun.21	50	5	13.35282651	30.16569201	22.12475634	13.20662768	3.849902534	2.582846004	3.752436647	1.169590643
D40	Drought sensitive	Jun.21	75	5	13.70063384	26.96245734	22.13554364	14.09068747	4.973183813	3.754266212	3.754266212	1.365187713
D41	Drought sensitive	Jun.21	50	6	12.71929825	33.04093567	22.417154	11.93957115	2.826510721	2.875243665	3.849902534	1.169590643
D42	Drought tolerant	Jun.21	75	6	9.941520468	32.69980507	24.41520468	10.96491228	3.411306043	4.678362573	3.118908382	2.144249513
D43	Drought sensitive	Jun.21	25	6	13.84015595	28.46003899	22.12475634	14.61988304	3.996101365	3.362573099	4.093567251	1.072124756
D44	Drought sensitive	Jun.21	0	6	13.20662768	29.09356725	22.17348928	13.84015595	4.873294347	3.021442495	3.752436647	1.364522417
D45	Drought tolerant	Jun.21	50	6	12.62183236	27.582846	26.02339181	11.30604288	2.923976608	4.337231969	2.972709552	2.436647173
D46	Drought tolerant	Jun.21	0	6	13.25536062	28.7037037	23.83040936	12.42690058	3.801169591	3.216374269	2.972709552	1.608187135
D47	Drought sensitive	Jun.21	75	6	13.15789474	30.11695906	22.70955166	12.86549708	3.898635478	2.875243665	3.50877193	1.559454191
D48	Drought tolerant	Jun.21	25	6	11.79337232	29.33723197	24.46393762	12.28070175	2.53411306	3.167641326	3.801169591	1.998050682
E1	Drought sensitive	Jul.5	25	1	12.76803119	31.28654971	22.17348928	12.28070175	3.265107212	3.265107212	3.362573099	1.510721248
E2	Drought tolerant	Jul.5	0	1	16.27680312	31.53021442	21.78362573	11.5497076	2.631578947	2.972709552	3.898635478	0.925925926
E3	Drought tolerant	Jul.5	75	1	17.10526316	26.70565302	23.0994152	11.06237817	3.460038986	2.192982456	4.483430799	1.315789474
E4	Drought sensitive	Jul.5	0	1	16.52046784	24.46393762	22.90448343	12.81676413	4.434697856	1.559454191	4.678362573	1.510721248
E5	Drought sensitive	Jul.5	50	1	14.24390244	28.73170732	23.65853659	11.31707317	3.219512195	2.585365854	4.585365854	2.292682927
E6	Drought sensitive	Jul.5	75	1	17.05653021	29.77582846	21.2962963	11.25730994	2.777777778	2.53411306	4.385964912	1.218323587
E7	Drought tolerant	Jul.5	25	1	12.47563353	29.19103314	23.00194932	12.76803119	3.557504873	2.485380117	5.068226121	1.559454191
E8	Drought tolerant	Jul.5	50	1	11.5497076	34.60038986	21.53996101	11.69590643	4.191033138	3.313840156	2.826510721	1.315789474
E9	Drought tolerant	Jul.5	0	2	16.91033138	22.61208577	22.95321637	13.98635478	5.506822612	4.142300195	3.362573099	1.608187135
